ofjobs,yearsexp,honors,volunteer,military,empholes,workinschool,email,computerskills,specialskills,firstname,expminreq,eoe,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,black,chicago,high,female,college,call_back
3,4,0,0,0,1,0,0,1,0,Keisha,3,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
3,3,0,0,0,0,0,0,0,1,Keisha,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
3,4,0,1,1,0,1,1,1,0,Lakisha,3,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
3,5,0,1,0,0,1,1,0,1,Laurie,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
2,5,1,0,0,1,0,0,1,0,Meredith,3,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
3,5,0,1,0,0,1,1,0,1,Tyrone,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
4,7,0,1,0,1,0,1,1,0,Anne,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
4,6,0,0,0,0,1,0,1,0,Emily,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
4,5,0,0,0,1,0,0,1,1,Latoya,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
2,7,0,1,0,1,0,1,1,0,Tamika,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
2,4,0,1,0,1,0,1,1,1,Brad,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3,5,0,1,0,0,1,1,0,1,Latoya,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3,4,0,0,0,1,0,0,1,0,Kristen,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
3,5,0,0,0,0,1,1,1,1,Latonya,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
4,6,0,0,0,1,1,0,1,0,Latoya,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
3,6,0,1,0,0,1,1,1,0,Laurie,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
5,13,0,0,0,1,1,0,1,1,Allison,some,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
2,19,1,0,0,1,0,0,1,1,Ebony,some,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
3,5,0,1,0,0,1,1,0,0,Jay,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
5,7,0,0,1,1,0,1,1,1,Keisha,some,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
4,21,0,0,0,1,1,1,1,0,Laurie,some,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
3,5,0,1,0,0,1,1,0,1,Tyrone,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
4,4,0,0,0,1,1,0,1,1,Anne,,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
3,5,0,0,0,0,1,1,1,1,Lakisha,,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
4,6,0,0,0,0,1,0,1,0,Latonya,,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
3,5,0,1,0,0,1,1,1,0,Meredith,,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
2,5,0,1,0,0,0,1,1,1,Allison,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
2,6,0,0,0,0,0,0,0,0,Carrie,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
3,6,0,1,0,0,1,1,0,0,Ebony,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
4,6,0,0,0,1,0,0,1,1,Kenya,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
3,6,1,0,0,1,1,1,1,0,Lakisha,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
3,4,0,1,1,0,1,1,1,0,Laurie,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
4,8,0,1,0,1,0,1,1,0,Aisha,,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0
4,5,0,0,0,1,1,0,1,0,Anne,,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
2,5,0,1,0,0,0,1,0,1,Brendan,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
3,5,0,1,0,0,0,1,1,1,Hakim,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
4,6,0,0,0,0,1,0,1,0,Latoya,,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0
2,5,0,0,0,0,0,0,0,1,Laurie,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
3,3,0,1,1,0,1,1,1,0,Laurie,,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0
3,4,0,0,0,0,0,0,1,1,Leroy,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
3,12,0,1,0,0,1,1,1,0,Anne,2,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
3,11,0,1,0,0,1,1,1,0,Kenya,2,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
2,9,1,0,0,1,0,0,1,0,Latonya,2,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
3,10,0,0,0,1,0,0,1,0,Meredith,2,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
4,5,0,0,0,1,0,0,1,1,Jamal,3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
4,4,0,1,0,1,0,1,1,1,Matthew,3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
2,4,0,0,0,0,1,0,1,0,Neil,3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5,3,0,1,0,1,1,1,1,0,Tyrone,3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
3,4,0,1,0,0,0,1,0,1,Leroy,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
3,7,0,1,0,1,1,1,1,0,Todd,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
3,3,0,0,0,0,0,0,1,1,Brad,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,3,0,0,0,0,1,0,1,0,Ebony,some,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
4,2,0,0,0,1,0,0,1,0,Jill,some,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
4,4,0,0,0,0,1,1,1,0,Kristen,some,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0
2,4,1,1,0,1,1,1,0,1,Lakisha,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3,4,0,1,1,0,1,1,1,1,Matthew,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
6,4,0,0,0,0,1,1,1,1,Tamika,some,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
3,2,0,0,0,0,0,0,1,1,Tremayne,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
4,10,0,1,0,1,0,1,1,1,Aisha,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0
3,4,0,1,0,1,1,1,0,0,Brett,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
3,5,0,1,0,0,1,1,0,1,Darnell,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
5,11,0,1,0,1,1,1,1,0,Emily,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
2,3,0,0,0,0,1,0,1,1,Latonya,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
4,2,0,0,0,1,0,0,1,1,Sarah,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
4,7,0,0,0,0,1,1,1,0,Aisha,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0
4,7,0,1,0,1,0,1,1,1,Anne,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
3,4,0,1,0,1,1,1,0,0,Jermaine,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
3,4,0,1,0,0,1,1,0,1,Neil,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
4,4,0,1,0,0,1,1,1,0,Allison,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0
2,6,1,1,0,0,1,1,0,1,Anne,some,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
5,6,0,1,0,1,1,1,1,0,Keisha,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
3,6,0,1,0,1,1,1,0,1,Latonya,some,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
3,6,0,1,0,0,1,1,0,1,Latonya,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
2,6,0,1,1,0,1,1,0,1,Laurie,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
2,6,1,1,0,0,1,1,0,1,Jay,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
2,4,0,1,0,0,1,1,0,0,Lakisha,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3,23,0,1,0,1,1,0,1,0,Anne,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4,5,0,0,0,1,1,0,1,0,Keisha,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
3,4,0,0,0,0,1,1,1,0,Kristen,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
3,4,1,0,0,1,1,0,1,0,Lakisha,,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0
4,5,0,1,0,1,0,0,1,0,Allison,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
3,5,0,1,1,0,1,1,1,0,Ebony,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
4,5,0,0,0,0,1,0,1,1,Keisha,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
3,1,0,1,0,1,0,0,0,1,Kristen,some,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2,5,0,0,0,0,0,0,0,1,Lakisha,some,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
4,5,0,0,0,1,1,0,1,0,Meredith,5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
3,5,0,0,0,0,0,0,0,0,Allison,some,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
4,8,0,0,0,0,1,1,1,1,Kristen,5,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
3,4,0,0,0,0,0,0,0,1,Lakisha,some,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
4,9,0,1,0,1,0,1,1,1,Lakisha,5,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
1,9,1,1,0,0,1,1,1,1,Tanisha,some,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
2,5,0,1,0,1,1,1,0,1,Todd,some,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
3,6,0,1,0,1,1,1,0,0,Aisha,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3,8,0,0,0,0,1,1,1,0,Anne,8,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
4,9,0,0,0,1,1,0,1,0,Jill,8,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
3,9,0,0,0,0,1,1,1,1,Latoya,8,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0
3,5,0,1,0,0,1,1,0,0,Neil,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
3,10,0,0,0,1,0,0,1,0,Tamika,8,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0
4,8,0,0,0,0,1,1,1,0,Anne,some,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
3,6,0,1,0,1,1,1,1,0,Geoffrey,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
4,5,0,1,0,1,0,1,1,1,Latoya,some,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
3,4,0,1,0,0,1,1,0,1,Rasheed,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
4,6,0,0,0,0,1,0,1,0,Aisha,3,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
3,4,0,1,1,0,1,1,1,0,Allison,3,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2,6,0,0,0,0,0,0,1,0,Carrie,3,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2,4,0,0,0,1,0,0,1,1,Ebony,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
3,5,0,1,0,0,1,1,1,0,Kenya,3,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
3,4,0,0,0,0,0,0,0,1,Kristen,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
3,6,0,0,0,0,0,0,0,0,Jermaine,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3,4,0,0,0,0,0,0,0,1,Laurie,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3,7,0,1,0,1,1,0,1,0,Allison,5,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3,9,0,0,0,0,1,1,1,0,Kristen,5,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
2,7,1,0,0,1,0,0,1,0,Lakisha,5,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
4,8,0,1,0,1,0,1,1,0,Latonya,5,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0
5,6,0,0,0,1,0,0,1,1,Brad,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3,9,0,0,0,1,0,0,1,1,Leroy,some,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
2,12,0,1,0,1,0,1,1,0,Emily,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
2,6,0,0,0,0,0,0,1,0,Latonya,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
3,5,1,0,0,1,1,1,1,0,Latoya,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0
4,7,0,0,0,1,0,0,1,0,Laurie,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
3,14,0,0,0,0,0,1,0,0,Aisha,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
5,12,0,0,0,1,1,0,1,0,Allison,some,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
5,7,0,0,1,1,0,1,1,1,Ebony,some,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2,3,0,0,0,1,0,0,0,1,Jermaine,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
3,1,0,0,0,0,0,0,0,1,Kristen,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2,5,1,0,0,1,0,0,1,0,Latonya,some,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
4,21,0,0,0,1,1,1,1,0,Laurie,some,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
3,2,0,0,0,1,0,1,1,1,Laurie,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
4,7,0,0,0,1,0,0,1,0,Anne,,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
5,10,0,0,0,1,0,1,1,0,Brendan,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
5,10,0,0,0,1,0,1,0,1,Kareem,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
2,7,0,1,0,1,0,1,1,0,Keisha,,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
2,6,0,0,1,1,0,0,1,1,Matthew,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
3,6,1,0,0,1,1,1,1,0,Meredith,,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
2,6,0,0,0,0,0,0,1,0,Tanisha,,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
3,11,0,0,0,1,1,0,1,1,Tanisha,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
4,14,0,1,0,0,1,0,1,1,Aisha,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
4,8,0,0,0,0,0,0,1,0,Allison,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
